"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"countryres","numeric",0.00121506682867558,80,115.071776155718,122,122,NA,115.071776155718,NA,2,1357,1355,0.488491538609238,9.04204290276181,11.2575696605377,104.202214258904,NA,NA
"countryhome","numeric",0.89902794653706,86,106.572803850782,84,84,NA,106.572803850782,NA,2,192,190,0.0285302323595132,0.168182995537911,-1.31625847621074,-3.88423554149411,NA,NA
"perceived_threat","numeric",0.00218712029161604,7,2.84486117876279,3,3,NA,2.84486117876279,NA,0,5,5,-0.0490850490370861,-0.90812866799197,-0.506333741549142,-4.68444197740279,NA,NA
"local_diagnoses","numeric",0,7,0.579829890643985,0,0,NA,0.579829890643985,NA,0,6,6,1.64124576625887,30.3981426880459,3.23072109838062,29.9223446600175,NA,NA
"global_diagnoses","numeric",0,4,2.23365735115431,3,3,NA,2.23365735115431,NA,0,3,3,-0.897485463870418,-16.622672699024,-0.665960563256002,-6.16800426187015,NA,NA
"days_isolation","numeric",0.183475091130012,76,22.975744047619,22,22,NA,22.975744047619,NA,0,120,120,1.53343122743588,25.6649385239197,8.72072708027518,72.9899682875519,NA,NA
"age","numeric",0.00157958687727825,68,38.3352805160034,35,35,NA,38.3352805160034,NA,18,88,70,0.702707194377927,13.0048300581985,-0.271138615385067,-2.50925305436702,NA,NA
"gender","numeric",0.000729040097205346,4,1.61624513618677,2,2,NA,1.61624513618677,NA,1,3,2,-0.226733603821189,-4.19788959457601,-1.35360578867038,-12.5322798854287,NA,NA
"education","numeric",0.0162818955042527,10,6.64377470355731,7,7,NA,6.64377470355731,NA,1,9,8,-0.592974347953609,-10.8929617393117,-0.271601282229311,-2.49497088702539,NA,NA
"income","numeric",0.0353584447144593,6,0.242851744552211,0,0,NA,0.242851744552211,NA,-2,2,4,-0.404125639167625,-7.35149587903659,-0.579293810334049,-5.26966315011711,NA,NA
"conspiracy","numeric",0.0199270959902795,22,-5.74783039920655,-9,-9,NA,-5.74783039920655,NA,-10,10,20,1.39423772743748,25.5647211851973,0.709330950308944,6.50394610227718,NA,NA
"confusion","numeric",0.00170109356014581,6,1.19997565725414,1,1,NA,1.19997565725414,NA,0,4,4,0.694816983070079,12.8580256588959,-0.425774685238483,-3.94009335520817,NA,NA
"fake_news","numeric",0.00157958687727825,7,2.77875136911281,3,3,NA,2.77875136911281,NA,0,5,5,0.14908739183263,2.75912387138683,-0.755482171382192,-6.99161181216612,NA,NA
"perceived_risk","numeric",0,25,1.84491697043337,1.83333333333333,1.83333333333333,NA,1.84491697043337,NA,0,4,4,-0.0794692360881418,-1.47188021902645,-0.189064020731826,-1.75107618976521,NA,NA
"anxiety","numeric",0.000364520048602673,27,1.13787499927648,1,1,NA,1.13787499927648,NA,0,3,3,0.445058166066977,8.24159111523933,-0.350615529452695,-3.2467449986984,NA,NA
"depression","numeric",0.000364520048602673,26,0.995391191604878,1,1,NA,0.995391191604878,NA,0,3,3,0.489642760762583,9.06720904012099,-0.240101792192252,-2.22337354593387,NA,NA
