"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"mpg","numeric",32,0,25,20.090625,19.2,19.2,NA,6.0269480520891,NA,10.4,33.9,23.5,0.610655017573288,0.736692235341961,-0.372766029820891,-0.23028122932983,NA,NA
"cyl","numeric",32,0,3,6.1875,6,6,NA,1.78592164694654,NA,4,8,4,-0.174611913930169,-0.210651247412564,-1.76211977398177,-1.08857319422024,NA,NA
"disp","numeric",32,0,27,230.721875,196.3,196.3,NA,123.938693831382,NA,71.1,472,400.9,0.381657034147599,0.460429809841747,-1.2072119466699,-0.745771419338768,NA,NA
"hp","numeric",32,0,22,146.6875,123,123,NA,68.5628684893206,NA,52,335,283,0.726023656361273,0.875872587506807,-0.135551121097422,-0.0837385284768289,NA,NA
"drat","numeric",32,0,22,3.5965625,3.695,3.695,NA,0.534678736070971,NA,2.76,4.93,2.17,0.265903904603492,0.320785609274049,-0.714700615734489,-0.44151591944471,NA,NA
"wt","numeric",32,0,29,3.21725,3.325,3.325,NA,0.978457442989697,NA,1.513,5.424,3.911,0.423146464177225,0.510482523848835,-0.0227107528393122,-0.0140298730690552,NA,NA
"qsec","numeric",32,0,30,17.84875,17.71,17.71,NA,1.78694323609684,NA,14.5,22.9,8.4,0.369045278509436,0.445215028688246,0.335114219571392,0.207021317060158,NA,NA
"vs","numeric",32,0,2,0.4375,0,0,NA,0.504016128774185,NA,0,1,1,0.240257688369044,0.289846097074673,-2.00193762400794,-1.23672389707747,NA,NA
"am","numeric",32,0,2,0.40625,0,0,NA,0.498990917235846,NA,0,1,1,0.364015894329692,0.439147595903541,-1.92474142839069,-1.18903490880011,NA,NA
"gear","numeric",32,0,3,3.6875,4,4,NA,0.737804065256947,NA,3,5,2,0.52885446231085,0.638008310418235,-1.06975067515432,-0.660852869745985,NA,NA
"carb","numeric",32,0,6,2.8125,2,2,NA,1.61519997763185,NA,1,8,7,1.05087376449851,1.26777070580235,1.25704307347743,0.776555268246997,NA,NA
