"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"media.BY.int_fb","1.00","","","[1.00, 1.00]","1.00",0.0680123252460738,"0.01","0.00","0.07***","[0.04, 0.10]"
"media.BY.int_google","1.86","0.44","0.00","[1.00, 2.73]","1.86***",0.117440378266587,"0.01","0.00","0.12***","[0.09, 0.14]"
"media.BY.int_gov","8.98","1.86","0.00","[5.34, 12.62]","8.98***",0.460311182589583,"0.01","0.00","0.46***","[0.43, 0.49]"
"media.BY.int_ig","0.54","0.21","0.01","[0.13, 0.96]","0.54*",0.0417699360651242,"0.01","0.00","0.04**","[0.01, 0.07]"
"media.BY.int_maps","2.56","0.59","0.00","[1.41, 3.71]","2.56***",0.135406850099435,"0.01","0.00","0.14***","[0.11, 0.16]"
"media.BY.int_newspaper","3.08","0.67","0.00","[1.76, 4.40]","3.08***",0.178344891481679,"0.01","0.00","0.18***","[0.15, 0.21]"
"media.BY.int_nhs","13.39","2.77","0.00","[7.96, 18.82]","13.39***",0.734403584917697,"0.02","0.00","0.73***","[0.70, 0.76]"
"media.BY.int_tw","1.26","0.40","0.00","[0.47, 2.05]","1.26**",0.0569103394163975,"0.01","0.00","0.06***","[0.03, 0.08]"
"media.BY.int_who","10.62","2.19","0.00","[6.32, 14.92]","10.62***",0.49101283394043,"0.01","0.00","0.49***","[0.46, 0.52]"
"anxiety.ON.feelinginformed","-0.04","0.01","0.00","[-0.06, -0.03]","-0.04***",-0.051461900728231,"0.01","0.00","-0.05***","[-0.07, -0.03]"
"anxiety.ON.avoidance_actions","0.14","0.01","0.00","[0.12, 0.17]","0.14***",0.13823158679524,"0.01","0.00","0.14***","[0.12, 0.16]"
"anxiety.ON.media","-0.35","0.11","0.00","[-0.58, -0.13]","-0.35**",-0.0513506349505998,"0.01","0.00","-0.05***","[-0.08, -0.03]"
"anxiety.ON.freqcomcov","0.09","0.01","0.00","[0.08, 0.10]","0.09***",0.145909049291542,"0.01","0.00","0.15***","[0.13, 0.17]"
"anxiety.ON.coping_actions","0.28","0.02","0.00","[0.24, 0.33]","0.28***",0.140449072900951,"0.01","0.00","0.14***","[0.12, 0.16]"
"anxiety.ON.government_actions","-0.10","0.01","0.00","[-0.12, -0.07]","-0.10***",-0.159936593162925,"0.02","0.00","-0.16***","[-0.20, -0.12]"
"anxiety.ON.institutional_trust","-0.08","0.01","0.00","[-0.10, -0.06]","-0.08***",-0.144329720095566,"0.02","0.00","-0.14***","[-0.18, -0.11]"
"anxiety.ON.government_actions:institutional_trust","0.02","0.01","0.00","[0.01, 0.03]","0.02***",0.040893364947396,"0.01","0.00","0.04***","[0.02, 0.06]"
"feelinginformed.ON.media","0.42","0.15","0.00","[0.13, 0.70]","0.42**",0.0489657864873071,"0.01","0.00","0.05***","[0.02, 0.08]"
"Variances.int_fb","1.88","0.03","0.00","[1.82, 1.94]","1.88***",0.995374323614622,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_google","2.17","0.03","0.00","[2.10, 2.23]","2.17***",0.986207757552601,"0.00","0.00","0.99***","[0.98, 0.99]"
"Variances.int_gov","2.62","0.05","0.00","[2.52, 2.72]","2.62***",0.78811361518298,"0.01","0.00","0.79***","[0.76, 0.81]"
"Variances.int_ig","1.47","0.02","0.00","[1.43, 1.52]","1.47***",0.998255272441115,"0.00","0.00","1.00***","[1.00, 1.00]"
"Variances.int_maps","3.06","0.05","0.00","[2.96, 3.15]","3.06***",0.981664984946149,"0.00","0.00","0.98***","[0.97, 0.99]"
"Variances.int_newspaper","2.52","0.04","0.00","[2.44, 2.60]","2.52***",0.968193099682388,"0.00","0.00","0.97***","[0.96, 0.98]"
"Variances.int_nhs","1.34","0.07","0.00","[1.21, 1.47]","1.34***",0.460651374460036,"0.02","0.00","0.46***","[0.42, 0.51]"
"Variances.int_tw","4.26","0.07","0.00","[4.13, 4.39]","4.26***",0.996761213267511,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_who","3.10","0.06","0.00","[2.97, 3.23]","3.10***",0.758906396905788,"0.01","0.00","0.76***","[0.73, 0.78]"
"Variances.anxiety","0.34","0.01","0.00","[0.33, 0.35]","0.34***",0.807813008796005,"0.01","0.00","0.81***","[0.79, 0.82]"
"Variances.feelinginformed","0.63","0.01","0.00","[0.61, 0.65]","0.63***",0.99760235175368,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.media","0.01","0.00","0.01","[0.00, 0.02]","0.01*",1,"","","1.00","[1.00, 1.00]"
"Variances.avoidance_actions","0.38","","","[0.38, 0.38]","0.38",1,"","","1.00","[1.00, 1.00]"
"avoidance_actions.WITH.freqcomcov","0.07","","","[0.07, 0.07]","0.07",0.111169551867335,"","","0.11","[0.11, 0.11]"
"avoidance_actions.WITH.coping_actions","0.05","","","[0.05, 0.05]","0.05",0.246507723602093,"","","0.25","[0.25, 0.25]"
"avoidance_actions.WITH.government_actions","-0.08","","","[-0.08, -0.08]","-0.08",-0.113743586945548,"","","-0.11","[-0.11, -0.11]"
"avoidance_actions.WITH.institutional_trust","-0.12","","","[-0.12, -0.12]","-0.12",-0.167184616888431,"","","-0.17","[-0.17, -0.17]"
"avoidance_actions.WITH.government_actions:institutional_trust","0.04","","","[0.04, 0.04]","0.04",0.0564813414726746,"","","0.06","[0.06, 0.06]"
"Variances.freqcomcov","1.05","","","[1.05, 1.05]","1.05",1,"","","1.00","[1.00, 1.00]"
"freqcomcov.WITH.coping_actions","0.08","","","[0.08, 0.08]","0.08",0.236495669157185,"","","0.24","[0.24, 0.24]"
"freqcomcov.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0175556060083771,"","","-0.02","[-0.02, -0.02]"
"freqcomcov.WITH.institutional_trust","0.00","","","[0.00, 0.00]","0.00",0.00191619431632561,"","","0.00","[0.00, 0.00]"
"freqcomcov.WITH.government_actions:institutional_trust","0.02","","","[0.02, 0.02]","0.02",0.0211203216404599,"","","0.02","[0.02, 0.02]"
"Variances.coping_actions","0.10","","","[0.10, 0.10]","0.10",1,"","","1.00","[1.00, 1.00]"
"coping_actions.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0631972016566534,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.institutional_trust","-0.02","","","[-0.02, -0.02]","-0.02",-0.0562666620430673,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.government_actions:institutional_trust","0.01","","","[0.01, 0.01]","0.01",0.0258116844752409,"","","0.03","[0.03, 0.03]"
"Variances.government_actions","1.17","","","[1.17, 1.17]","1.17",1,"","","1.00","[1.00, 1.00]"
"government_actions.WITH.institutional_trust","1.04","","","[1.04, 1.04]","1.04",0.835230334977066,"","","0.84","[0.84, 0.84]"
"government_actions.WITH.government_actions:institutional_trust","0.18","","","[0.18, 0.18]","0.18",0.144412988179395,"","","0.14","[0.14, 0.14]"
"Variances.institutional_trust","1.34","","","[1.34, 1.34]","1.34",1,"","","1.00","[1.00, 1.00]"
"institutional_trust.WITH.government_actions:institutional_trust","0.08","","","[0.08, 0.08]","0.08",0.0618464168728669,"","","0.06","[0.06, 0.06]"
"Variances.government_actions:institutional_trust","1.32","","","[1.32, 1.32]","1.32",1,"","","1.00","[1.00, 1.00]"
"Means.int_fb","0.76","0.02","0.00","[0.73, 0.79]","0.76***",0.551052368138452,"0.01","0.00","0.55***","[0.53, 0.57]"
"Means.int_google","0.74","0.02","0.00","[0.71, 0.77]","0.74***",0.500648086858388,"0.01","0.00","0.50***","[0.48, 0.52]"
"Means.int_gov","0.58","0.02","0.00","[0.54, 0.62]","0.58***",0.317695211131757,"0.01","0.00","0.32***","[0.30, 0.34]"
"Means.int_ig","0.36","0.01","0.00","[0.33, 0.39]","0.36***",0.296353349377369,"0.01","0.00","0.30***","[0.27, 0.32]"
"Means.int_maps","0.89","0.02","0.00","[0.85, 0.93]","0.89***",0.50387646420454,"0.01","0.00","0.50***","[0.48, 0.53]"
"Means.int_newspaper","0.71","0.02","0.00","[0.67, 0.74]","0.71***",0.437643235314218,"0.01","0.00","0.44***","[0.41, 0.46]"
"Means.int_nhs","0.37","0.02","0.00","[0.34, 0.41]","0.37***",0.218643723922806,"0.01","0.00","0.22***","[0.20, 0.24]"
"Means.int_tw","1.08","0.02","0.00","[1.03, 1.12]","1.08***",0.521968100462594,"0.01","0.00","0.52***","[0.50, 0.55]"
