"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"admit_confusion.BY.fake_news","1.00","","","[1.00, 1.00]","1.00",0.667889407201886,"0.36","0.07","0.67","[-0.04, 1.38]"
"admit_confusion.BY.confusion","0.19","0.21","0.36","[-0.22, 0.60]","0.19",0.140790188528984,"0.08","0.07","0.14","[-0.01, 0.29]"
"sense_of_control.ON.conspiracy","0.28","0.07","0.00","[0.15, 0.41]","0.28***",0.067584479638282,"0.02","0.00","0.07***","[0.04, 0.10]"
"conspiracy.ON.social_isolation","-0.05","0.02","0.00","[-0.08, -0.02]","-0.05***",-0.0564233334872157,"0.02","0.00","-0.06***","[-0.09, -0.03]"
"conspiracy.ON.trust_fb","0.16","0.02","0.00","[0.12, 0.20]","0.16***",0.111717575175684,"0.02","0.00","0.11***","[0.08, 0.14]"
"conspiracy.ON.admit_confusion","0.14","0.15","0.35","[-0.15, 0.43]","0.14",0.106047908216092,"0.06","0.07","0.11","[-0.01, 0.22]"
"conspiracy.ON.education","-0.17","0.01","0.00","[-0.19, -0.15]","-0.17***",-0.255455763767172,"0.02","0.00","-0.26***","[-0.29, -0.22]"
"Thresholds.conspiracy.t1","1.04","0.02","0.00","[1.00, 1.07]","1.04***",0.995090462962719,"0.02","0.00","1.00***","[0.96, 1.03]"
"Variances.fake_news","0.79","0.69","0.25","[-0.56, 2.15]","0.79",0.553923739747514,"0.48","0.25","0.55","[-0.39, 1.50]"
"Variances.confusion","1.17","0.04","0.00","[1.10, 1.24]","1.17***",0.980178122813973,"0.02","0.00","0.98***","[0.94, 1.02]"
"Variances.sense_of_control","18.60","0.36","0.00","[17.90, 19.30]","18.60***",0.995432338112023,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.conspiracy","0.99","","","[0.99, 0.99]","0.99",0.91090454447145,"0.01","0.00","0.91***","[0.89, 0.93]"
"Variances.admit_confusion","0.64","0.69","0.36","[-0.72, 2.00]","0.64",1,"","","1.00","[1.00, 1.00]"
"Variances.social_isolation","1.16","","","[1.16, 1.16]","1.16",1,"","","1.00","[1.00, 1.00]"
"social_isolation.WITH.trust_fb","-0.05","","","[-0.05, -0.05]","-0.05",-0.0656814883443302,"","","-0.07","[-0.07, -0.07]"
"social_isolation.WITH.education","-0.19","","","[-0.19, -0.19]","-0.19",-0.114992079799789,"","","-0.11","[-0.11, -0.11]"
"Variances.trust_fb","0.53","","","[0.53, 0.53]","0.53",1,"","","1.00","[1.00, 1.00]"
"trust_fb.WITH.education","0.01","","","[0.01, 0.01]","0.01",0.0102647364742775,"","","0.01","[0.01, 0.01]"
"Variances.education","2.38","","","[2.38, 2.38]","2.38",1,"","","1.00","[1.00, 1.00]"
"Variances.conspiracy","1.00","","","[1.00, 1.00]","1.00",1,"","","1.00","[1.00, 1.00]"
"Means.fake_news","0.00","0.01","0.88","[-0.02, 0.03]","0.00",0.00171665313035736,"0.01","0.88","0.00","[-0.02, 0.02]"
"Means.confusion","-0.00","0.01","0.89","[-0.03, 0.03]","-0.00",-0.00183988089434619,"0.01","0.89","-0.00","[-0.03, 0.02]"
"Means.sense_of_control","-0.01","0.05","0.89","[-0.11, 0.09]","-0.01",-0.00161717260838864,"0.01","0.89","-0.00","[-0.02, 0.02]"
"Means.conspiracy","0.00","","","[0.00, 0.00]","0.00",0,"","","0.00","[0.00, 0.00]"
"Means.social_isolation","0.00","","","[0.00, 0.00]","0.00",0.0033301335335908,"","","0.00","[0.00, 0.00]"
"Means.trust_fb","-0.00","","","[-0.00, -0.00]","-0.00",-0.00484371044839739,"","","-0.00","[-0.00, -0.00]"
"Means.education","0.00","","","[0.00, 0.00]","0.00",0.00150313634706266,"","","0.00","[0.00, 0.00]"
"Means.admit_confusion","0.00","","","[0.00, 0.00]","0.00",0,"","","0.00","[0.00, 0.00]"
