"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"media.BY.int_fb","1.00","","","[1.00, 1.00]","1.00",0.0625595423791621,"0.01","0.00","0.06***","[0.04, 0.09]"
"media.BY.int_google","1.92","0.49","0.00","[0.96, 2.87]","1.92***",0.111529826565191,"0.01","0.00","0.11***","[0.08, 0.14]"
"media.BY.int_gov","9.69","2.17","0.00","[5.43, 13.94]","9.69***",0.455814825580916,"0.01","0.00","0.46***","[0.43, 0.48]"
"media.BY.int_ig","0.49","0.22","0.03","[0.05, 0.93]","0.49*",0.0350055278060977,"0.01","0.01","0.04*","[0.01, 0.06]"
"media.BY.int_maps","2.74","0.67","0.00","[1.42, 4.06]","2.74***",0.133212012030389,"0.01","0.00","0.13***","[0.11, 0.16]"
"media.BY.int_newspaper","3.27","0.77","0.00","[1.76, 4.79]","3.27***",0.174083319962431,"0.01","0.00","0.17***","[0.15, 0.20]"
"media.BY.int_nhs","14.73","3.30","0.00","[8.26, 21.21]","14.73***",0.742254795683965,"0.02","0.00","0.74***","[0.71, 0.77]"
"media.BY.int_tw","1.22","0.43","0.00","[0.38, 2.06]","1.22**",0.0506462003309317,"0.01","0.00","0.05***","[0.02, 0.08]"
"media.BY.int_who","11.56","2.59","0.00","[6.49, 16.62]","11.56***",0.490791678731114,"0.01","0.00","0.49***","[0.46, 0.52]"
"sense_of_control.ON.avoidance_actions","0.07","0.09","0.41","[-0.10, 0.25]","0.07",0.00952785938858484,"0.01","0.41","0.01","[-0.01, 0.03]"
"sense_of_control.ON.media","3.50","1.09","0.00","[1.37, 5.63]","3.50**",0.0626232355075362,"0.01","0.00","0.06***","[0.04, 0.09]"
"sense_of_control.ON.freqcomcov","-0.55","0.05","0.00","[-0.65, -0.45]","-0.55***",-0.117426624357607,"0.01","0.00","-0.12***","[-0.14, -0.10]"
"sense_of_control.ON.coping_actions","0.69","0.17","0.00","[0.35, 1.04]","0.69***",0.0460358870772739,"0.01","0.00","0.05***","[0.02, 0.07]"
"sense_of_control.ON.government_actions","0.66","0.09","0.00","[0.48, 0.83]","0.66***",0.147962222085847,"0.02","0.00","0.15***","[0.11, 0.19]"
"sense_of_control.ON.institutional_trust","0.14","0.08","0.10","[-0.03, 0.30]","0.14",0.0333037783694958,"0.02","0.10","0.03","[-0.01, 0.07]"
"sense_of_control.ON.government_actions:institutional_trust","0.06","0.05","0.22","[-0.03, 0.15]","0.06",0.0137823437768045,"0.01","0.22","0.01","[-0.01, 0.04]"
"Variances.int_fb","1.88","0.03","0.00","[1.82, 1.93]","1.88***",0.99608630365731,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_google","2.15","0.03","0.00","[2.08, 2.22]","2.15***",0.987561097786338,"0.00","0.00","0.99***","[0.98, 0.99]"
"Variances.int_gov","2.64","0.05","0.00","[2.54, 2.74]","2.64***",0.792232844780639,"0.01","0.00","0.79***","[0.77, 0.82]"
"Variances.int_ig","1.46","0.02","0.00","[1.41, 1.50]","1.46***",0.998774613023017,"0.00","0.00","1.00***","[1.00, 1.00]"
"Variances.int_maps","3.06","0.05","0.00","[2.96, 3.16]","3.06***",0.982254559850815,"0.00","0.00","0.98***","[0.98, 0.99]"
"Variances.int_newspaper","2.53","0.04","0.00","[2.45, 2.61]","2.53***",0.969694997710858,"0.00","0.00","0.97***","[0.96, 0.98]"
"Variances.int_nhs","1.30","0.07","0.00","[1.17, 1.44]","1.30***",0.449057818284156,"0.02","0.00","0.45***","[0.40, 0.50]"
"Variances.int_tw","4.26","0.07","0.00","[4.13, 4.39]","4.26***",0.997434962392039,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_who","3.10","0.06","0.00","[2.98, 3.23]","3.10***",0.759123528088295,"0.01","0.00","0.76***","[0.73, 0.78]"
"Variances.sense_of_control","21.90","0.35","0.00","[21.21, 22.58]","21.90***",0.951476428813662,"0.00","0.00","0.95***","[0.94, 0.96]"
"Variances.media","0.01","0.00","0.02","[0.00, 0.01]","0.01*",1,"","","1.00","[1.00, 1.00]"
"Variances.avoidance_actions","0.38","","","[0.38, 0.38]","0.38",1,"","","1.00","[1.00, 1.00]"
"avoidance_actions.WITH.freqcomcov","0.07","","","[0.07, 0.07]","0.07",0.110867290228378,"","","0.11","[0.11, 0.11]"
"avoidance_actions.WITH.coping_actions","0.05","","","[0.05, 0.05]","0.05",0.245540352351313,"","","0.25","[0.25, 0.25]"
"avoidance_actions.WITH.government_actions","-0.08","","","[-0.08, -0.08]","-0.08",-0.114003026138438,"","","-0.11","[-0.11, -0.11]"
"avoidance_actions.WITH.institutional_trust","-0.12","","","[-0.12, -0.12]","-0.12",-0.167463506487499,"","","-0.17","[-0.17, -0.17]"
"avoidance_actions.WITH.government_actions:institutional_trust","0.04","","","[0.04, 0.04]","0.04",0.0553626784561354,"","","0.06","[0.06, 0.06]"
"Variances.freqcomcov","1.05","","","[1.05, 1.05]","1.05",1,"","","1.00","[1.00, 1.00]"
"freqcomcov.WITH.coping_actions","0.08","","","[0.08, 0.08]","0.08",0.236160290049242,"","","0.24","[0.24, 0.24]"
"freqcomcov.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0172702625147307,"","","-0.02","[-0.02, -0.02]"
"freqcomcov.WITH.institutional_trust","0.00","","","[0.00, 0.00]","0.00",0.00187420105296818,"","","0.00","[0.00, 0.00]"
"freqcomcov.WITH.government_actions:institutional_trust","0.02","","","[0.02, 0.02]","0.02",0.0205750171299741,"","","0.02","[0.02, 0.02]"
"Variances.coping_actions","0.10","","","[0.10, 0.10]","0.10",1,"","","1.00","[1.00, 1.00]"
"coping_actions.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0619084196174364,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.institutional_trust","-0.02","","","[-0.02, -0.02]","-0.02",-0.0557223672188076,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.government_actions:institutional_trust","0.01","","","[0.01, 0.01]","0.01",0.0264570055877599,"","","0.03","[0.03, 0.03]"
"Variances.government_actions","1.17","","","[1.17, 1.17]","1.17",1,"","","1.00","[1.00, 1.00]"
"government_actions.WITH.institutional_trust","1.04","","","[1.04, 1.04]","1.04",0.835209537811296,"","","0.84","[0.84, 0.84]"
"government_actions.WITH.government_actions:institutional_trust","0.18","","","[0.18, 0.18]","0.18",0.143248113143188,"","","0.14","[0.14, 0.14]"
"Variances.institutional_trust","1.34","","","[1.34, 1.34]","1.34",1,"","","1.00","[1.00, 1.00]"
"institutional_trust.WITH.government_actions:institutional_trust","0.08","","","[0.08, 0.08]","0.08",0.0612968571391452,"","","0.06","[0.06, 0.06]"
"Variances.government_actions:institutional_trust","1.32","","","[1.32, 1.32]","1.32",1,"","","1.00","[1.00, 1.00]"
