"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"perceived_risk.ON.local_diagnoses","0.08","0.02","0.00","[0.04, 0.12]","0.08***",0.0462105185842612,"0.01","0.00","0.05***","[0.02, 0.07]"
"perceived_threat.ON.income","-0.01","0.01","0.51","[-0.03, 0.02]","-0.01",-0.00755520781874117,"0.01","0.51","-0.01","[-0.03, 0.02]"
"perceived_threat.ON.perceived_risk","0.46","0.02","0.00","[0.42, 0.49]","0.46***",0.298671167101145,"0.01","0.00","0.30***","[0.28, 0.32]"
"social_isolation.ON.social_actions","-0.24","0.01","0.00","[-0.26, -0.21]","-0.24***",-0.220025429930717,"0.01","0.00","-0.22***","[-0.24, -0.20]"
"social_isolation.ON.days_isolation","0.01","0.00","0.00","[0.00, 0.01]","0.01***",0.0576282640494119,"0.01","0.00","0.06***","[0.03, 0.08]"
"social_isolation.ON.days2","-0.00","0.00","0.39","[-0.00, 0.00]","-0.00",-0.0116292009417552,"0.01","0.39","-0.01","[-0.04, 0.01]"
"sense_of_control.ON.days_isolation","0.00","0.01","0.82","[-0.01, 0.02]","0.00",0.00316235642144656,"0.01","0.82","0.00","[-0.02, 0.03]"
"sense_of_control.ON.days2","0.00","0.00","0.31","[-0.00, 0.00]","0.00",0.0139889500889509,"0.01","0.31","0.01","[-0.01, 0.04]"
"perceived_threat.WITH.social_isolation","0.21","0.01","0.00","[0.18, 0.24]","0.21***",0.180183905840169,"0.01","0.00","0.18***","[0.16, 0.20]"
"social_isolation.WITH.sense_of_control","-2.06","0.07","0.00","[-2.19, -1.93]","-2.06***",-0.415365740000029,"0.01","0.00","-0.42***","[-0.44, -0.40]"
"perceived_threat.WITH.sense_of_control","-1.00","0.07","0.00","[-1.13, -0.87]","-1.00***",-0.190746786605326,"0.01","0.00","-0.19***","[-0.21, -0.17]"
"depression.ON.social_actions","0.02","0.01","0.00","[0.01, 0.04]","0.02***",0.0437634867039266,"0.01","0.00","0.04***","[0.02, 0.06]"
"depression.ON.days_isolation","0.00","0.00","0.02","[0.00, 0.00]","0.00*",0.0230556134246466,"0.01","0.02","0.02*","[0.00, 0.04]"
"depression.ON.local_diagnoses","-0.06","0.01","0.00","[-0.08, -0.03]","-0.06***",-0.0450028416375786,"0.01","0.00","-0.05***","[-0.06, -0.03]"
"depression.ON.perceived_risk","0.04","0.01","0.00","[0.03, 0.06]","0.04***",0.0563253664227107,"0.01","0.00","0.06***","[0.04, 0.08]"
"depression.ON.perceived_threat:social_isolation","0.01","0.00","0.01","[0.00, 0.02]","0.01*",0.0281999180456825,"0.01","0.01","0.03*","[0.01, 0.05]"
"depression.ON.social_isolation","0.18","0.01","0.00","[0.17, 0.19]","0.18***",0.349571469439373,"0.01","0.00","0.35***","[0.33, 0.37]"
"depression.ON.perceived_threat","0.06","0.01","0.00","[0.05, 0.08]","0.06***",0.134275922571655,"0.01","0.00","0.13***","[0.11, 0.16]"
"depression.ON.sense_of_control","-0.04","0.00","0.00","[-0.04, -0.03]","-0.04***",-0.307634152719036,"0.01","0.00","-0.31***","[-0.33, -0.29]"
"depression.ON.perceived_threat:sense_of_control","0.00","0.00","0.62","[-0.00, 0.00]","0.00",0.00550707380081242,"0.01","0.62","0.01","[-0.02, 0.03]"
"anxiety.ON.social_actions","0.05","0.01","0.00","[0.04, 0.06]","0.05***",0.0792176409480631,"0.01","0.00","0.08***","[0.06, 0.10]"
"anxiety.ON.days_isolation","-0.00","0.00","0.01","[-0.00, -0.00]","-0.00**",-0.0278477040632193,"0.01","0.01","-0.03**","[-0.05, -0.01]"
"anxiety.ON.local_diagnoses","0.04","0.01","0.00","[0.01, 0.07]","0.04**",0.0290971545178191,"0.01","0.00","0.03**","[0.01, 0.05]"
"anxiety.ON.perceived_risk","0.14","0.01","0.00","[0.13, 0.16]","0.14***",0.171973533272362,"0.01","0.00","0.17***","[0.15, 0.19]"
"anxiety.ON.perceived_threat:social_isolation","0.01","0.01","0.21","[-0.00, 0.02]","0.01",0.0138469181460366,"0.01","0.21","0.01","[-0.01, 0.04]"
"anxiety.ON.social_isolation","0.16","0.01","0.00","[0.14, 0.17]","0.16***",0.267465957813365,"0.01","0.00","0.27***","[0.25, 0.29]"
"anxiety.ON.perceived_threat","0.12","0.01","0.00","[0.11, 0.13]","0.12***",0.220303218034165,"0.01","0.00","0.22***","[0.20, 0.24]"
"anxiety.ON.sense_of_control","-0.04","0.00","0.00","[-0.04, -0.03]","-0.04***",-0.271977274393729,"0.01","0.00","-0.27***","[-0.29, -0.25]"
"anxiety.ON.perceived_threat:sense_of_control","-0.00","0.00","0.32","[-0.00, 0.00]","-0.00",-0.0109395828724166,"0.01","0.32","-0.01","[-0.03, 0.01]"
"Variances.perceived_risk","0.57","0.01","0.00","[0.55, 0.59]","0.57***",0.997864587972174,"0.00","0.00","1.00***","[1.00, 1.00]"
"Variances.perceived_threat","1.23","0.02","0.00","[1.18, 1.27]","1.23***",0.910753343323016,"0.01","0.00","0.91***","[0.90, 0.92]"
"Variances.social_isolation","1.09","0.02","0.00","[1.05, 1.13]","1.09***",0.946913149544811,"0.00","0.00","0.95***","[0.94, 0.96]"
"Variances.sense_of_control","22.53","0.40","0.00","[21.75, 23.30]","22.53***",0.999753104676577,"0.00","0.00","1.00***","[1.00, 1.00]"
"Variances.depression","0.20","0.00","0.00","[0.19, 0.21]","0.20***",0.641347167271553,"0.01","0.00","0.64***","[0.62, 0.66]"
"Variances.anxiety","0.26","0.00","0.00","[0.25, 0.27]","0.26***",0.654773893264723,"0.01","0.00","0.65***","[0.64, 0.67]"
"depression.WITH.anxiety","0.10","0.00","0.00","[0.09, 0.10]","0.10***",0.42022362216934,"0.01","0.00","0.42***","[0.40, 0.44]"
"Variances.local_diagnoses","0.19","","","[0.19, 0.19]","0.19",1,"","","1.00","[1.00, 1.00]"
"local_diagnoses.WITH.income","0.03","","","[0.03, 0.03]","0.03",0.0714003044738308,"","","0.07","[0.07, 0.07]"
"local_diagnoses.WITH.social_actions","-0.03","","","[-0.03, -0.03]","-0.03",-0.0737660570802164,"","","-0.07","[-0.07, -0.07]"
"local_diagnoses.WITH.days_isolation","0.21","","","[0.21, 0.21]","0.21",0.0500871213560817,"","","0.05","[0.05, 0.05]"
"local_diagnoses.WITH.days2","0.19","","","[0.19, 0.19]","0.19",0.00159243150602597,"","","0.00","[0.00, 0.00]"
"local_diagnoses.WITH.perceived_threat:social_isolation","0.00","","","[0.00, 0.00]","0.00",0.00342944908922231,"","","0.00","[0.00, 0.00]"
"local_diagnoses.WITH.perceived_threat:sense_of_control","-0.03","","","[-0.03, -0.03]","-0.03",-0.0112084923980069,"","","-0.01","[-0.01, -0.01]"
"Variances.income","1.16","","","[1.16, 1.16]","1.16",1,"","","1.00","[1.00, 1.00]"
"income.WITH.social_actions","0.16","","","[0.16, 0.16]","0.16",0.151436081332155,"","","0.15","[0.15, 0.15]"
"income.WITH.days_isolation","-0.74","","","[-0.74, -0.74]","-0.74",-0.0728137930178187,"","","-0.07","[-0.07, -0.07]"
"income.WITH.days2","-21.66","","","[-21.66, -21.66]","-21.66",-0.0719249755538366,"","","-0.07","[-0.07, -0.07]"
"income.WITH.perceived_threat:social_isolation","-0.07","","","[-0.07, -0.07]","-0.07",-0.0473855794757505,"","","-0.05","[-0.05, -0.05]"
"income.WITH.perceived_threat:sense_of_control","0.15","","","[0.15, 0.15]","0.15",0.0247523516465896,"","","0.02","[0.02, 0.02]"
"Variances.social_actions","0.98","","","[0.98, 0.98]","0.98",1,"","","1.00","[1.00, 1.00]"
"social_actions.WITH.days_isolation","-0.80","","","[-0.80, -0.80]","-0.80",-0.0844563445683822,"","","-0.08","[-0.08, -0.08]"
"social_actions.WITH.days2","-16.18","","","[-16.18, -16.18]","-16.18",-0.058260597125545,"","","-0.06","[-0.06, -0.06]"
"social_actions.WITH.perceived_threat:social_isolation","-0.08","","","[-0.08, -0.08]","-0.08",-0.0582946652439783,"","","-0.06","[-0.06, -0.06]"
"social_actions.WITH.perceived_threat:sense_of_control","0.21","","","[0.21, 0.21]","0.21",0.0358807832952744,"","","0.04","[0.04, 0.04]"
"Variances.days_isolation","90.17","","","[90.17, 90.17]","90.17",1,"","","1.00","[1.00, 1.00]"
"days_isolation.WITH.days2","1238.74","","","[1238.74, 1238.74]","1238.74",0.465708867005091,"","","0.47","[0.47, 0.47]"
"days_isolation.WITH.perceived_threat:social_isolation","0.26","","","[0.26, 0.26]","0.26",0.0204254989981647,"","","0.02","[0.02, 0.02]"
"days_isolation.WITH.perceived_threat:sense_of_control","-1.30","","","[-1.30, -1.30]","-1.30",-0.0236240694082344,"","","-0.02","[-0.02, -0.02]"
"Variances.days2","78462.26","","","[78462.26, 78462.26]","78462.26",1,"","","1.00","[1.00, 1.00]"
"days2.WITH.perceived_threat:social_isolation","-0.77","","","[-0.77, -0.77]","-0.77",-0.00202895225467121,"","","-0.00","[-0.00, -0.00]"
"days2.WITH.perceived_threat:sense_of_control","-16.77","","","[-16.77, -16.77]","-16.77",-0.0103609837946852,"","","-0.01","[-0.01, -0.01]"
"Variances.perceived_threat:social_isolation","1.85","","","[1.85, 1.85]","1.85",1,"","","1.00","[1.00, 1.00]"
"perceived_threat:social_isolation.WITH.perceived_threat:sense_of_control","-3.26","","","[-3.26, -3.26]","-3.26",-0.414828931915165,"","","-0.41","[-0.41, -0.41]"
